feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
SystemTotalLoad_Consumption,0.0021649415,0.0009986536,0.0014768046,0.0013078235,0.0012149197,0.0013540982,0.0011199916,0.00188459,0.0018377643,0.0017065022,0.001390343,0.0051670573,0.0035475716,0.0027670662,0.002648513,0.004052423
DAIG_spnGeneration,0.0020707785,0.0020927838,0.0016702788,0.0021125374,0.001668538,0.0014666124,0.0026903667,0.0022048138,0.0021007517,0.0017672683,0.001790405,0.003429379,0.0018643831,0.0016841842,0.0022259695,0.0022934065
GenerationForecast_Production,0.002047078,0.0007722897,0.0013439854,0.0012765498,0.0022281003,0.002130018,0.0023946667,0.0028039382,0.0027868617,0.0025836066,0.0024237325,0.0023139543,0.0016324285,0.0018471718,0.0022306754,0.0019381886
Z7,0.0020326446,0.00064677885,0.0044660196,0.0016928085,0.0018879693,0.002187318,0.0020905973,0.00750997,0.00026692825,0.00047961416,0.001362148,0.0019381355,0.0005552544,0.00077514927,0.00023299197,0.0043979813
Z11,0.0020214175,0.0016526573,0.0031000015,0.0016502016,0.002253592,0.0024685657,0.0019843888,0.001221789,0.00096994353,0.0012862481,0.00092097546,0.0012717391,0.003020168,0.0033750832,0.0023550421,0.0027908657
Transmission Loss Factor,0.0020189488,0.0013082102,0.002118809,0.0012401061,0.0026496009,0.0013152307,0.0023119398,0.0038206454,0.0011387308,0.0013211577,0.0025037155,0.004128184,0.0013697763,0.0023287965,0.0014568514,0.0012724797
sp6_12_totalvolume,0.0019598089,0.0017783893,0.0013910257,0.0031847188,0.0010595242,0.0017557367,0.0025826457,0.0012863695,0.0013230715,0.0016432416,0.0010964762,0.002182041,0.0028410784,0.0023819357,0.0026982971,0.0021925822
marketIndexVolume,0.0018902657,0.001590172,0.0022053204,0.0017748559,0.0016468833,0.0021230287,0.0017958576,0.002123325,0.0016802683,0.0016014696,0.0021478196,0.0020911493,0.0018164379,0.0017144216,0.0021152175,0.0019277586
DATF_Demand,0.0017906444,0.0027676523,0.0024072165,0.0017104986,0.0017153278,0.0016503221,0.002018156,0.0013385755,0.001838909,0.0018658479,0.0024717103,0.0022863594,0.0012896569,0.001608328,0.0010616005,0.00082950795
DANF_Demand,0.0014266524,0.0017229414,0.0010086823,0.00088319415,0.0011553925,0.0009349843,0.00091701146,0.000888832,0.0008415583,0.0014499362,0.0017845682,0.001593819,0.0016845185,0.0024612981,0.002093679,0.001979373
Z9,0.0013192092,0.0016099997,0.0005583621,0.00045465105,0.0006626928,0.0007729566,0.0013812782,0.00021636818,0.00035203918,0.00059406203,0.00019591422,0.008307236,0.0011518161,0.0012980842,0.0019686616,0.00026401412
Month_ordin,0.0012234948,0.0010834746,0.0009501213,0.0012335997,0.001021713,0.0011221675,0.0010251187,0.0013810232,0.0012836442,0.0014741666,0.0016783753,0.001662762,0.0011770239,0.0015648716,0.00067918753,0.0010151716
Z12,0.0011743291,0.0006109831,0.0002242241,0.0006568761,0.0008526419,0.0011146782,0.0012260192,0.0021912628,0.0019239477,0.0019137438,0.0015488198,0.0007359311,0.00059100566,0.0022467095,0.00068667735,0.0010914156
Z17,0.0010322655,0.0017157157,0.0006882124,0.00030869903,0.00054285786,0.0039513465,0.0009787208,0.0021766224,0.00038572602,0.00050808664,0.00014805904,0.0016531484,0.0007108848,5.9916674e-05,0.00034198473,0.0013140024
Weekend,0.0010033651,0.0019551541,0.0004639057,0.0045402693,0.00027156703,0.00017378382,0.00012321606,0.00028261775,0.0005120979,0.00035858393,0.0008434639,0.0005129906,0.0021178585,7.594225e-05,0.0025554935,0.00026353466
Z4,0.00089094567,0.00041917228,0.00076726766,0.00088770926,0.0009109214,0.0013704966,0.00043111734,0.0005630857,0.00049911404,0.0005116222,0.0011725645,0.001175524,0.0019647854,0.0005611009,0.0014475286,0.0006821747
Z2,0.00057825324,0.00010926752,0.00031552694,0.0023603328,7.849179e-05,0.0003058163,0.00016632827,0.000225938,0.00029519046,0.00034471662,0.00019833168,0.00025352472,0.0030219338,0.00024578522,0.0004363983,0.00031621588
Holiday,0.00025315984,5.978145e-05,0.00031718067,0.0001599721,0.00021918872,0.00011602951,0.00030122435,0.00025177657,0.00024186097,0.0002255618,0.00021725758,0.00035154674,0.00023119846,0.00035758057,0.0002476397,0.00049959816
FPN Flag_label,7.976533e-05,4.615792e-05,0.00011412249,5.759498e-05,0.00010444639,4.4253567e-05,3.435675e-05,3.243703e-06,5.7767196e-05,5.5306242e-05,5.4788452e-05,0.000100698846,9.18659e-05,0.00013276291,0.00020184883,9.726587e-05
