feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
SystemTotalLoad_Consumption,0.001346846,0.0011902271,0.0012994732,0.0013090133,0.0013982364,0.001370831,0.002417307,0.00095670496,0.0010077117,0.0010563184,0.0011871433,0.0010468942,0.0011887826,0.0026754516,0.0009781736,0.001120422
WindOffshore_Generation,0.0012365882,0.0010746184,0.0010627859,0.001094291,0.0011877485,0.0011308043,0.0019227281,0.0011817133,0.0010965855,0.001163262,0.0015830494,0.0011809316,0.0011538898,0.0011859937,0.0011117687,0.0014186541
Z14,0.0012122614,0.0011368013,0.0010510583,0.0010592279,0.0012532653,0.00080643705,0.0015993578,0.001090235,0.0014959661,0.0011474685,0.001158475,0.0024749907,0.0012308653,0.00095060584,0.00089633133,0.00083283486
GenerationForecast_Production,0.0011948227,0.0009247847,0.0010444084,0.0021863987,0.002162964,0.0018074184,0.0007246243,0.0011262413,0.0010007941,0.0012821486,0.00096777524,0.0010411897,0.0009249957,0.00084080454,0.0009802271,0.00090756617
BZONE DEMAND,0.0011646916,0.0014152523,0.0008919227,0.00107914,0.0009245523,0.0010001415,0.0012864604,0.0010246597,0.0011515869,0.0012217426,0.0012040886,0.0010995733,0.000964762,0.0022573567,0.001173325,0.00077581
Z17,0.00096710015,0.001157275,0.0005249865,0.0010790599,0.0011734135,0.0018573729,0.0007142393,0.0008192349,0.000482593,0.0009376058,0.0010147707,0.00096099166,0.0017050395,0.0007347575,0.0007297832,0.0006153779
sp6_12_meanvolume,0.0009421327,0.00076965924,0.0006562918,0.0007680874,0.00073073065,0.0007671294,0.00065823784,0.00088820717,0.0023124279,0.0006897247,0.000956135,0.0007018427,0.00070815085,0.0012890372,0.0012427112,0.000993619
Z9,0.00089796534,0.0010575651,0.000702187,0.0010156431,0.0007576749,0.0011989566,0.00069043494,0.0014439131,0.00092935015,0.00074627704,0.0008512123,0.0008357462,0.0008192065,0.0008091155,0.0010476062,0.00056459074
sp6_12_totalvolume,0.0008707579,0.0014065816,0.00084645016,0.00087743887,0.00082731474,0.00083423225,0.00071476016,0.00070324994,0.000705375,0.00074577617,0.00090211123,0.00096439885,0.0009578502,0.0008939187,0.0007455814,0.0009363297
Z15,0.0006630953,0.0006020426,0.00056612736,0.0007973295,0.0005939768,0.0007664298,0.0015741384,0.0009161193,0.0012097947,0.0005082692,0.0004194794,0.0005082972,0.00037951747,0.000225549,0.0005856892,0.0002936698
FPN Flag_label,0.0006512512,0.0007129218,0.0007596039,0.00083132944,0.00087515474,0.0002770845,0.0011142277,0.00032272525,0.0009793031,0.00076113205,0.0005678164,0.0003790323,0.00045073082,0.00065615226,0.00041113026,0.00067042245
Z10,0.00059501635,0.0006328281,0.0007341239,0.00050502404,0.00035538344,0.0005600601,0.00061168167,0.0006579752,0.0006822242,0.0006291503,0.0008590712,0.00042515286,0.0006066329,0.00038948283,0.000876049,0.0004004051
