settlementDate,settlementPeriod,DAM,DAI
2020-12-25,45.0,31798.0,-2313.0
2020-12-25,46.0,32632.0,-2396.0
2020-12-25,47.0,33665.0,-1872.0
2020-12-25,48.0,34226.0,-1532.0
2020-12-26,1.0,34571.0,-1021.0
2020-12-26,2.0,34329.0,-811.0
2020-12-26,3.0,34291.0,-649.0
2020-12-26,4.0,34851.0,-6.0
2020-12-26,5.0,34798.0,0.0
2020-12-26,6.0,34954.0,331.0
2020-12-26,7.0,34849.0,364.0
2020-12-26,8.0,34965.0,710.0
2020-12-26,9.0,35409.0,1354.0
2020-12-26,10.0,35165.0,1290.0
2020-12-26,11.0,34376.0,521.0
2020-12-26,12.0,34031.0,242.0
2020-12-26,13.0,34203.0,234.0
2020-12-26,14.0,34059.0,401.0
2020-12-26,15.0,33671.0,464.0
2020-12-26,16.0,33292.0,312.0
2020-12-26,17.0,32775.0,-421.0
2020-12-26,18.0,32252.0,-1120.0
2020-12-26,19.0,33328.0,236.0
2020-12-26,20.0,32388.0,-534.0
2020-12-26,21.0,31042.0,-1658.0
2020-12-26,22.0,29494.0,-2149.0
2020-12-26,23.0,29854.0,-1663.0
2020-12-26,24.0,29630.0,-1852.0
2020-12-26,25.0,29195.0,-1989.0
2020-12-26,26.0,29058.0,-1996.0
2020-12-26,27.0,28960.0,-1757.0
2020-12-26,28.0,29095.0,-1825.0
2020-12-26,29.0,29176.0,-1882.0
2020-12-26,30.0,29102.0,-1772.0
2020-12-26,31.0,29654.0,-1256.0
2020-12-26,32.0,29108.0,-1716.0
2020-12-26,33.0,28615.0,-1177.0
2020-12-26,34.0,28017.0,-1177.0
2020-12-26,35.0,27397.0,-1290.0
2020-12-26,36.0,27603.0,-1133.0
2020-12-26,37.0,27501.0,-1611.0
2020-12-26,38.0,28202.0,-1407.0
2020-12-26,39.0,28705.0,-1470.0
2020-12-26,40.0,29495.0,-1748.0
2020-12-26,41.0,29992.0,-1673.0
2020-12-26,42.0,30763.0,-1134.0
2020-12-26,43.0,31382.0,-1267.0
2020-12-26,44.0,32514.0,-406.0
2020-12-26,45.0,32879.0,510.0
2020-12-26,46.0,33530.0,1066.0
2020-12-26,47.0,33318.0,1228.0
2020-12-26,48.0,33371.0,1421.0
2020-12-27,1.0,32838.0,210.0
2020-12-27,2.0,32757.0,-1.0
2020-12-27,3.0,32669.0,7.0
2020-12-27,4.0,33227.0,385.0
2020-12-27,5.0,33166.0,290.0
2020-12-27,6.0,33517.0,801.0
2020-12-27,7.0,33246.0,234.0
2020-12-27,8.0,33654.0,484.0
2020-12-27,9.0,33969.0,451.0
2020-12-27,10.0,33959.0,401.0
2020-12-27,11.0,34605.0,566.0
2020-12-27,12.0,34540.0,440.0
2020-12-27,13.0,35783.0,1233.0
2020-12-27,14.0,35428.0,831.0
2020-12-27,15.0,34476.0,-102.0
2020-12-27,16.0,33833.0,-813.0
2020-12-27,17.0,33944.0,-677.0
2020-12-27,18.0,32645.0,-1363.0
2020-12-27,19.0,31907.0,-1247.0
2020-12-27,20.0,31533.0,-849.0
2020-12-27,21.0,31575.0,-117.0
2020-12-27,22.0,30611.0,-1025.0
2020-12-27,23.0,29888.0,-642.0
2020-12-27,24.0,29135.0,-259.0
2020-12-27,25.0,29039.0,-104.0
2020-12-27,26.0,28927.0,-246.0
2020-12-27,27.0,28595.0,156.0
2020-12-27,28.0,28622.0,322.0
2020-12-27,29.0,28386.0,350.0
2020-12-27,30.0,28470.0,837.0
2020-12-27,31.0,27363.0,1170.0
2020-12-27,32.0,26286.0,1092.0
2020-12-27,33.0,24156.0,1766.0
2020-12-27,34.0,22484.0,1570.0
2020-12-27,35.0,21389.0,829.0
2020-12-27,36.0,21545.0,543.0
2020-12-27,37.0,22019.0,167.0
2020-12-27,38.0,22528.0,183.0
2020-12-27,39.0,23213.0,190.0
2020-12-27,40.0,24049.0,348.0
2020-12-27,41.0,24310.0,-377.0
