settlementDate,settlementPeriod,System total load Consumption
2020-12-30,45.0,32432.0
2020-12-30,46.0,30710.0
2020-12-30,47.0,28949.0
2020-12-30,48.0,28142.0
2020-12-31,1.0,27758.0
2020-12-31,2.0,27896.0
2020-12-31,3.0,27176.0
2020-12-31,4.0,26430.0
2020-12-31,5.0,25955.0
2020-12-31,6.0,25563.0
2020-12-31,7.0,25016.0
2020-12-31,8.0,24554.0
2020-12-31,9.0,24382.0
2020-12-31,10.0,24518.0
2020-12-31,11.0,24885.0
2020-12-31,12.0,26007.0
2020-12-31,13.0,27557.0
2020-12-31,14.0,29157.0
2020-12-31,15.0,30602.0
2020-12-31,16.0,31818.0
2020-12-31,17.0,33175.0
2020-12-31,18.0,34589.0
2020-12-31,19.0,35741.0
2020-12-31,20.0,36435.0
2020-12-31,21.0,37085.0
2020-12-31,22.0,37648.0
2020-12-31,23.0,38097.0
2020-12-31,24.0,38620.0
2020-12-31,25.0,39204.0
2020-12-31,26.0,38626.0
2020-12-31,27.0,37717.0
2020-12-31,28.0,37542.0
2020-12-31,29.0,37215.0
2020-12-31,30.0,36901.0
2020-12-31,31.0,36894.0
2020-12-31,32.0,37730.0
2020-12-31,33.0,39536.0
2020-12-31,34.0,40689.0
2020-12-31,35.0,40975.0
2020-12-31,36.0,41084.0
2020-12-31,37.0,40871.0
2020-12-31,38.0,40273.0
2020-12-31,39.0,39184.0
2020-12-31,40.0,38149.0
2020-12-31,41.0,37394.0
2020-12-31,42.0,35914.0
2020-12-31,43.0,33905.0
2020-12-31,44.0,32187.0
2020-12-31,45.0,31123.0
2020-12-31,46.0,30231.0
2020-12-31,47.0,29027.0
2020-12-31,48.0,29262.0
2021-01-01,1.0,30006.0
2021-01-01,2.0,29911.0
2021-01-01,3.0,29209.0
2021-01-01,4.0,28041.0
2021-01-01,5.0,27243.0
2021-01-01,6.0,26589.0
2021-01-01,7.0,25680.0
2021-01-01,8.0,24934.0
2021-01-01,9.0,24421.0
2021-01-01,10.0,24161.0
2021-01-01,11.0,24053.0
2021-01-01,12.0,24382.0
2021-01-01,13.0,25008.0
2021-01-01,14.0,25543.0
2021-01-01,15.0,25915.0
2021-01-01,16.0,26220.0
2021-01-01,17.0,27033.0
2021-01-01,18.0,28354.0
2021-01-01,19.0,29717.0
2021-01-01,20.0,30996.0
2021-01-01,21.0,32328.0
2021-01-01,22.0,33464.0
2021-01-01,23.0,34326.0
2021-01-01,24.0,35046.0
2021-01-01,25.0,35432.0
2021-01-01,26.0,35437.0
2021-01-01,27.0,35321.0
2021-01-01,28.0,35142.0
2021-01-01,29.0,34904.0
2021-01-01,30.0,34813.0
2021-01-01,31.0,35052.0
2021-01-01,32.0,36167.0
2021-01-01,33.0,37809.0
2021-01-01,34.0,38650.0
2021-01-01,35.0,38899.0
2021-01-01,36.0,38790.0
2021-01-01,37.0,38329.0
2021-01-01,38.0,37812.0
2021-01-01,39.0,37172.0
2021-01-01,40.0,36512.0
2021-01-01,41.0,35917.0
2021-01-01,42.0,34922.0
2021-01-01,43.0,33731.0
2021-01-01,44.0,32299.0
2021-01-01,45.0,30842.0
2021-01-01,46.0,29458.0
2021-01-01,47.0,28090.0
2021-01-01,48.0,26590.0
2021-01-02,1.0,27680.0
2021-01-02,2.0,27703.0
2021-01-02,3.0,27078.0
2021-01-02,4.0,26243.0
2021-01-02,5.0,25706.0
