settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-23,6.0,0.0,1142.893,831.116
2020-12-23,7.0,0.0,1379.781,871.837
2020-12-23,8.0,0.0,1379.781,871.837
2020-12-23,9.0,0.0,1680.317,978.761
2020-12-23,10.0,0.0,1680.317,978.761
2020-12-23,11.0,0.0,2147.928,1127.87
2020-12-23,12.0,0.0,2147.928,1127.87
2020-12-23,13.0,0.0,2601.312,1300.496
2020-12-23,14.0,0.0,2601.312,1300.496
2020-12-23,15.0,0.0,3025.969,1530.796
2020-12-23,16.0,0.0,3025.969,1530.796
2020-12-23,17.0,0.0,3398.543,1822.008
2020-12-23,18.0,36.0,3398.543,1822.008
2020-12-23,19.0,100.0,3816.679,2164.598
2020-12-23,20.0,186.0,3816.679,2164.598
2020-12-23,21.0,266.0,4336.877,2569.204
2020-12-23,22.0,323.0,4336.877,2569.204
2020-12-23,23.0,350.0,4733.759,2899.887
2020-12-23,24.0,362.0,4733.759,2899.887
2020-12-23,25.0,373.0,5141.769,3313.612
2020-12-23,26.0,372.0,5141.769,3313.612
2020-12-23,27.0,344.0,5807.93,3801.438
2020-12-23,28.0,281.0,5807.93,3801.438
2020-12-23,29.0,185.0,6402.57,4313.172
2020-12-23,30.0,91.0,6402.57,4313.172
2020-12-23,31.0,28.0,6798.01,4725.461
2020-12-23,32.0,0.0,6798.01,4725.461
2020-12-23,33.0,0.0,7305.917,4990.25
2020-12-23,34.0,0.0,7305.917,4990.25
2020-12-23,35.0,0.0,7557.493,5219.201
2020-12-23,36.0,0.0,7557.493,5219.201
2020-12-23,37.0,0.0,7725.713,5413.675
2020-12-23,38.0,0.0,7725.713,5413.675
2020-12-23,39.0,0.0,7766.347,5421.362
2020-12-23,40.0,0.0,7766.347,5421.362
2020-12-23,41.0,0.0,7874.77,5308.328
2020-12-23,42.0,0.0,7874.77,5308.328
2020-12-23,43.0,0.0,8019.04,5200.666
2020-12-23,44.0,0.0,8019.04,5200.666
2020-12-23,45.0,0.0,8087.149,5242.445
2020-12-23,46.0,0.0,8087.149,5242.445
2020-12-23,47.0,0.0,8226.897,5130.97
2020-12-23,48.0,0.0,8226.897,5130.97
2020-12-24,1.0,0.0,8464.61,4773.995
2020-12-24,2.0,0.0,8464.61,4773.995
2020-12-24,3.0,0.0,9239.809,5116.056
2020-12-24,4.0,0.0,9239.809,5116.056
2020-12-24,5.0,0.0,9434.273,5377.554
2020-12-24,6.0,0.0,9434.273,5377.554
2020-12-24,7.0,0.0,9409.567,5557.029
2020-12-24,8.0,0.0,9409.567,5557.029
2020-12-24,9.0,0.0,9351.557,5789.153
2020-12-24,10.0,0.0,9351.557,5789.153
2020-12-24,11.0,0.0,9304.869,5913.415
2020-12-24,12.0,0.0,9304.869,5913.415
2020-12-24,13.0,0.0,9291.664,5988.611
2020-12-24,14.0,0.0,9291.664,5988.611
2020-12-24,15.0,0.0,9383.529,5805.484
2020-12-24,16.0,0.0,9383.529,5805.484
2020-12-24,17.0,108.0,9390.516,5553.924
2020-12-24,18.0,398.0,9390.516,5553.924
2020-12-24,19.0,930.0,9370.985,5342.396
2020-12-24,20.0,1546.0,9370.985,5342.396
2020-12-24,21.0,2068.0,9311.981,5111.955
