settlementDate,settlementPeriod,Generation forecast Production
2020-12-25,39.0,29798.0
2020-12-25,40.0,28885.0
2020-12-25,41.0,28158.0
2020-12-25,42.0,27666.0
2020-12-25,43.0,27038.0
2020-12-25,44.0,26277.0
2020-12-25,45.0,25276.0
2020-12-25,46.0,24545.0
2020-12-25,47.0,23968.0
2020-12-25,48.0,23567.0
2020-12-26,1.0,22351.0
2020-12-26,2.0,22605.0
2020-12-26,3.0,22846.0
2020-12-26,4.0,23069.0
2020-12-26,5.0,23331.0
2020-12-26,6.0,23612.0
2020-12-26,7.0,23878.0
2020-12-26,8.0,24101.0
2020-12-26,9.0,24338.0
2020-12-26,10.0,24577.0
2020-12-26,11.0,24802.0
2020-12-26,12.0,25020.0
2020-12-26,13.0,25211.0
2020-12-26,14.0,25397.0
2020-12-26,15.0,25576.0
2020-12-26,16.0,25909.0
2020-12-26,17.0,26290.0
2020-12-26,18.0,26692.0
2020-12-26,19.0,27402.0
2020-12-26,20.0,28094.0
2020-12-26,21.0,28983.0
2020-12-26,22.0,29532.0
2020-12-26,23.0,30093.0
2020-12-26,24.0,30572.0
2020-12-26,25.0,30590.0
2020-12-26,26.0,30605.0
2020-12-26,27.0,30563.0
2020-12-26,28.0,30464.0
2020-12-26,29.0,30368.0
2020-12-26,30.0,30469.0
2020-12-26,31.0,30843.0
2020-12-26,32.0,30862.0
2020-12-26,33.0,31248.0
2020-12-26,34.0,31346.0
2020-12-26,35.0,31711.0
2020-12-26,36.0,31317.0
2020-12-26,37.0,30947.0
2020-12-26,38.0,30799.0
2020-12-26,39.0,30214.0
2020-12-26,40.0,29495.0
2020-12-26,41.0,29042.0
2020-12-26,42.0,28957.0
2020-12-26,43.0,28849.0
2020-12-26,44.0,28739.0
2020-12-26,45.0,28597.0
2020-12-26,46.0,28413.0
2020-12-26,47.0,28050.0
2020-12-26,48.0,27855.0
2020-12-27,1.0,26158.0
2020-12-27,2.0,25733.0
2020-12-27,3.0,25440.0
2020-12-27,4.0,25171.0
2020-12-27,5.0,24938.0
2020-12-27,6.0,24705.0
2020-12-27,7.0,24395.0
2020-12-27,8.0,24108.0
2020-12-27,9.0,23811.0
2020-12-27,10.0,23524.0
2020-12-27,11.0,23354.0
2020-12-27,12.0,23194.0
2020-12-27,13.0,23176.0
2020-12-27,14.0,23192.0
2020-12-27,15.0,23564.0
2020-12-27,16.0,24174.0
2020-12-27,17.0,25070.0
2020-12-27,18.0,25832.0
2020-12-27,19.0,27373.0
2020-12-27,20.0,29298.0
2020-12-27,21.0,30895.0
2020-12-27,22.0,31845.0
2020-12-27,23.0,33122.0
2020-12-27,24.0,33839.0
2020-12-27,25.0,34029.0
2020-12-27,26.0,33910.0
2020-12-27,27.0,33940.0
2020-12-27,28.0,33468.0
